station,date,high,low,high_time,source,source_url,product,fetched_at
KLAX,2025-12-26,62,56,229 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KLAX&year=2025,202512270942-KLOX-CDUS46-CLILAX,2026-09-02T21:26:13Z
KLAX,2025-12-27,61,48,239 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KLAX&year=2025,202512280940-KLOX-CDUS46-CLILAX,2026-09-02T21:26:13Z
KLAX,2025-12-28,67,45,153 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KLAX&year=2025,202512290925-KLOX-CDUS46-CLILAX,2026-07-25T16:35:19Z
KLAX,2025-12-29,75,46,237 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KLAX&year=2025,202512300932-KLOX-CDUS46-CLILAX,2026-07-25T16:35:19Z
KLAX,2025-12-30,73,59,304 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KLAX&year=2025,202512310943-KLOX-CDUS46-CLILAX,2026-07-25T16:35:19Z
KLAX,2025-12-31,68,57,1259 AM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KLAX&year=2025,202601010928-KLOX-CDUS46-CLILAX,2026-07-25T16:35:19Z
KLAX,2026-01-01,64,57,244 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KLAX&year=2026,202601020928-KLOX-CDUS46-CLILAX,2026-07-25T16:33:42Z
KLAX,2026-01-02,64,53,601 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KLAX&year=2026,202601030931-KLOX-CDUS46-CLILAX,2026-07-25T16:33:42Z
KLAX,2026-01-03,63,56,1257 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KLAX&year=2026,202601040928-KLOX-CDUS46-CLILAX,2026-07-25T16:33:42Z
KLAX,2026-01-04,62,56,226 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KLAX&year=2026,202601050929-KLOX-CDUS46-CLILAX-CCA,2026-07-25T16:33:42Z
KLAX,2026-01-05,64,53,100 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KLAX&year=2026,202601060928-KLOX-CDUS46-CLILAX,2026-07-25T16:33:42Z
KLAX,2026-01-06,65,53,429 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KLAX&year=2026,202601071019-KLOX-CDUS46-CLILAX,2026-07-25T16:33:42Z
KLAX,2026-01-07,64,51,232 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KLAX&year=2026,202601080943-KLOX-CDUS46-CLILAX,2026-07-25T16:33:42Z
