series,city,station,target_date,event_ticker,market_ticker,ts_utc,minutes_to_close,close_time_utc,strike_type,floor_strike,cap_strike,yes_sub_title,yes_bid,yes_ask,no_bid,no_ask,last,price_mean,yes_bid_low,yes_ask_high,volume,open_interest,has_quote,result,expiration_value,cli_high,recomputed_yes_expval,recomputed_yes_cli,payoff_matches_kalshi,truth_agrees
KXHIGHMIA,MIA,KMIA,2026-07-14,KXHIGHMIA-26JUL14,KXHIGHMIA-26JUL14-B90.5,2026-07-13T15:00:00Z,2279.0,2026-07-15T04:59:00Z,between,90.0,91.0,90° to 91°,0.03,0.04,0.96,0.97,0.04,0.0413,0.01,1.0,119.0,119.0,true,no,94.0,94.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-14,KXHIGHMIA-26JUL14,KXHIGHMIA-26JUL14-B90.5,2026-07-13T16:00:00Z,2219.0,2026-07-15T04:59:00Z,between,90.0,91.0,90° to 91°,0.02,0.03,0.97,0.98,0.02,0.0283,0.01,0.04,517.0,553.0,true,no,94.0,94.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-14,KXHIGHMIA-26JUL14,KXHIGHMIA-26JUL14-B90.5,2026-07-13T17:00:00Z,2159.0,2026-07-15T04:59:00Z,between,90.0,91.0,90° to 91°,0.01,0.02,0.98,0.99,0.02,0.0252,0.01,0.03,193.0,736.0,true,no,94.0,94.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-14,KXHIGHMIA-26JUL14,KXHIGHMIA-26JUL14-B90.5,2026-07-13T18:00:00Z,2099.0,2026-07-15T04:59:00Z,between,90.0,91.0,90° to 91°,0.01,0.02,0.98,0.99,0.02,0.0108,0.01,0.02,501.17,1199.17,true,no,94.0,94.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-14,KXHIGHMIA-26JUL14,KXHIGHMIA-26JUL14-B90.5,2026-07-13T19:00:00Z,2039.0,2026-07-15T04:59:00Z,between,90.0,91.0,90° to 91°,0.04,0.06,0.94,0.96,0.04,0.0281,0.01,0.07,677.0,1201.88,true,no,94.0,94.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-14,KXHIGHMIA-26JUL14,KXHIGHMIA-26JUL14-B90.5,2026-07-13T20:00:00Z,1979.0,2026-07-15T04:59:00Z,between,90.0,91.0,90° to 91°,0.06,0.07,0.93,0.94,0.07,0.07,0.04,0.07,337.71,1201.88,true,no,94.0,94.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-14,KXHIGHMIA-26JUL14,KXHIGHMIA-26JUL14-B90.5,2026-07-13T21:00:00Z,1919.0,2026-07-15T04:59:00Z,between,90.0,91.0,90° to 91°,0.04,0.06,0.94,0.96,,,0.03,0.07,0.0,1201.88,true,no,94.0,94.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-14,KXHIGHMIA-26JUL14,KXHIGHMIA-26JUL14-B90.5,2026-07-13T22:00:00Z,1859.0,2026-07-15T04:59:00Z,between,90.0,91.0,90° to 91°,0.04,0.05,0.95,0.96,0.04,0.04,0.03,0.06,8.0,1193.88,true,no,94.0,94.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-14,KXHIGHMIA-26JUL14,KXHIGHMIA-26JUL14-B90.5,2026-07-13T23:00:00Z,1799.0,2026-07-15T04:59:00Z,between,90.0,91.0,90° to 91°,0.04,0.06,0.94,0.96,0.06,0.0597,0.04,0.06,31.32,1225.2,true,no,94.0,94.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-14,KXHIGHMIA-26JUL14,KXHIGHMIA-26JUL14-B90.5,2026-07-14T00:00:00Z,1739.0,2026-07-15T04:59:00Z,between,90.0,91.0,90° to 91°,0.03,0.05,0.95,0.97,0.03,0.0402,0.02,0.06,324.87,1359.2,true,no,94.0,94.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-14,KXHIGHMIA-26JUL14,KXHIGHMIA-26JUL14-B90.5,2026-07-14T01:00:00Z,1679.0,2026-07-15T04:59:00Z,between,90.0,91.0,90° to 91°,0.03,0.05,0.95,0.97,0.06,0.056,0.03,0.07,153.91,1498.11,true,no,94.0,94.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-14,KXHIGHMIA-26JUL14,KXHIGHMIA-26JUL14-B90.5,2026-07-14T02:00:00Z,1619.0,2026-07-15T04:59:00Z,between,90.0,91.0,90° to 91°,0.02,0.04,0.96,0.98,0.04,0.037,0.02,0.05,267.85,1737.96,true,no,94.0,94.0,false,false,true,true
