series,city,station,target_date,event_ticker,market_ticker,ts_utc,minutes_to_close,close_time_utc,strike_type,floor_strike,cap_strike,yes_sub_title,yes_bid,yes_ask,no_bid,no_ask,last,price_mean,yes_bid_low,yes_ask_high,volume,open_interest,has_quote,result,expiration_value,cli_high,recomputed_yes_expval,recomputed_yes_cli,payoff_matches_kalshi,truth_agrees
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-10T15:00:00Z,2279.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.03,0.05,0.95,0.97,0.04,0.0244,0.01,1.0,9.0,9.0,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-10T16:00:00Z,2219.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.03,0.04,0.96,0.97,,,0.03,0.05,0.0,9.0,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-10T17:00:00Z,2159.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.04,0.96,0.98,0.03,0.0267,0.02,0.04,42.0,51.0,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-10T18:00:00Z,2099.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.03,0.04,0.96,0.97,0.04,0.0233,0.02,0.04,12.17,63.17,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-10T19:00:00Z,2039.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.04,0.96,0.98,0.04,0.0332,0.01,0.04,59.02,112.19,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-10T20:00:00Z,1979.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,0.02,0.02,0.02,0.04,12.0,117.19,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-10T21:00:00Z,1919.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,0.03,0.03,0.02,0.03,22.7,139.89,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-10T22:00:00Z,1859.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,0.04,0.0374,0.02,0.04,68.0,202.89,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-10T23:00:00Z,1799.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,0.03,0.03,0.02,0.04,93.0,295.89,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-11T00:00:00Z,1739.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.04,0.96,0.98,0.03,0.0315,0.02,0.04,132.0,427.89,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-11T01:00:00Z,1679.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,,,0.02,0.04,0.0,427.89,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-11T02:00:00Z,1619.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,0.03,0.0336,0.02,0.04,272.29,698.18,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-11T03:00:00Z,1559.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,0.02,0.0381,0.02,0.04,140.12,813.3,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-11T04:00:00Z,1499.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,0.03,0.0231,0.01,0.04,402.85,1133.15,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-11T05:00:00Z,1439.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,0.02,0.0302,0.01,0.04,282.66,1397.81,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-11,KXHIGHMIA-26JUL11,KXHIGHMIA-26JUL11-B89.5,2026-07-11T06:00:00Z,1379.0,2026-07-12T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,0.03,0.03,0.02,0.03,65.8,1423.61,true,no,91.0,91.0,false,false,true,true
