series,city,station,target_date,event_ticker,market_ticker,ts_utc,minutes_to_close,close_time_utc,strike_type,floor_strike,cap_strike,yes_sub_title,yes_bid,yes_ask,no_bid,no_ask,last,price_mean,yes_bid_low,yes_ask_high,volume,open_interest,has_quote,result,expiration_value,cli_high,recomputed_yes_expval,recomputed_yes_cli,payoff_matches_kalshi,truth_agrees
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-17T15:00:00Z,2279.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.03,0.04,0.96,0.97,0.03,0.0306,0.0,0.55,448.0,448.0,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-17T16:00:00Z,2219.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.04,0.96,0.98,0.02,0.0211,0.01,0.04,674.0,680.0,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-17T17:00:00Z,2159.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.04,0.96,0.98,0.05,0.041,0.02,0.05,118.0,766.0,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-17T18:00:00Z,2099.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.04,0.05,0.95,0.96,,,0.02,0.05,0.0,766.0,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-17T19:00:00Z,2039.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.04,0.05,0.95,0.96,,,0.03,0.05,0.0,766.0,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-17T20:00:00Z,1979.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,0.03,0.0398,0.02,0.06,239.4,935.0,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-17T21:00:00Z,1919.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,0.03,0.03,0.02,0.03,7.0,940.0,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-17T22:00:00Z,1859.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.01,0.02,0.98,0.99,0.01,0.0195,0.01,0.03,248.89,1176.89,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-17T23:00:00Z,1799.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.04,0.96,0.98,0.03,0.0266,0.01,0.04,272.0,1380.0,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T00:00:00Z,1739.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.04,0.05,0.95,0.96,0.05,0.0392,0.01,0.05,434.0,1636.0,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T01:00:00Z,1679.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.05,0.08,0.92,0.95,0.08,0.0588,0.03,0.08,506.94,1826.3,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T02:00:00Z,1619.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.03,0.05,0.95,0.97,0.05,0.0506,0.03,0.09,965.33,2673.63,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T03:00:00Z,1559.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.03,0.04,0.96,0.97,0.04,0.0347,0.01,0.07,884.8,3151.32,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T04:00:00Z,1499.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,0.02,0.037,0.01,0.05,424.67,3292.74,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T05:00:00Z,1439.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,0.02,0.0261,0.01,0.05,206.16,3347.9,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T06:00:00Z,1379.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.03,0.97,0.98,0.03,0.0313,0.01,0.04,303.98,3621.88,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T07:00:00Z,1319.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.01,0.02,0.98,0.99,0.02,0.0367,0.01,0.06,1185.95,4271.01,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T10:00:00Z,1139.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.03,0.04,0.96,0.97,0.02,0.0335,0.01,0.05,635.91,4651.92,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T11:00:00Z,1079.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.01,0.04,0.96,0.99,0.02,0.038,0.01,0.05,169.71,4797.63,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T12:00:00Z,1019.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.02,0.04,0.96,0.98,0.02,0.0407,0.01,0.05,165.27,4920.9,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T13:00:00Z,959.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,0.01,0.0228,0.0,0.05,887.71,5571.84,false,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T14:00:00Z,899.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,0.02,0.0166,0.0,0.03,1289.07,6610.84,false,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T15:00:00Z,839.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,0.01,0.0248,0.0,0.11,2924.53,8316.75,false,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T16:00:00Z,779.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,0.01,0.0179,0.0,0.03,2919.22,10288.85,false,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T17:00:00Z,719.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.01,2547.62,12079.69,false,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T18:00:00Z,659.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.01,1189.02,13268.71,false,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T19:00:00Z,599.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.01,1321.53,14590.24,false,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T20:00:00Z,539.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.01,1901.19,16491.43,false,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T21:00:00Z,479.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.01,631.0,17122.43,false,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T22:00:00Z,419.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.01,1594.69,18717.12,false,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-18T23:00:00Z,359.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.01,885.03,19602.15,false,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-19T00:00:00Z,299.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.01,825.51,20427.66,false,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-19T01:00:00Z,239.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,,,0.0,0.01,0.0,20427.66,false,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-19T02:00:00Z,179.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.01,499.0,20926.66,false,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-06-18,KXHIGHMIA-26JUN18,KXHIGHMIA-26JUN18-B89.5,2026-06-19T03:00:00Z,119.0,2026-06-19T04:59:00Z,between,89.0,90.0,89° to 90°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.01,1344.51,22271.17,false,no,93.0,93.0,false,false,true,true
