series,city,station,target_date,event_ticker,market_ticker,ts_utc,minutes_to_close,close_time_utc,strike_type,floor_strike,cap_strike,yes_sub_title,yes_bid,yes_ask,no_bid,no_ask,last,price_mean,yes_bid_low,yes_ask_high,volume,open_interest,has_quote,result,expiration_value,cli_high,recomputed_yes_expval,recomputed_yes_cli,payoff_matches_kalshi,truth_agrees
KXHIGHMIA,MIA,KMIA,2026-07-24,KXHIGHMIA-26JUL24,KXHIGHMIA-26JUL24-B87.5,2026-07-23T15:00:00Z,2279.0,2026-07-25T04:59:00Z,between,87.0,88.0,87° to 88°,0.05,0.1,0.9,0.95,0.05,0.1309,0.01,1.0,38.3,24.12,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-24,KXHIGHMIA-26JUL24,KXHIGHMIA-26JUL24-B87.5,2026-07-23T16:00:00Z,2219.0,2026-07-25T04:59:00Z,between,87.0,88.0,87° to 88°,0.07,0.1,0.9,0.93,0.07,0.07,0.05,0.12,1.0,25.12,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-24,KXHIGHMIA-26JUL24,KXHIGHMIA-26JUL24-B87.5,2026-07-23T17:00:00Z,2159.0,2026-07-25T04:59:00Z,between,87.0,88.0,87° to 88°,0.09,0.1,0.9,0.91,0.09,0.0891,0.07,0.13,19.89,44.19,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-24,KXHIGHMIA-26JUL24,KXHIGHMIA-26JUL24-B87.5,2026-07-23T18:00:00Z,2099.0,2026-07-25T04:59:00Z,between,87.0,88.0,87° to 88°,0.03,0.05,0.95,0.97,0.05,0.0537,0.03,0.1,188.63,224.82,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-24,KXHIGHMIA-26JUL24,KXHIGHMIA-26JUL24-B87.5,2026-07-23T19:00:00Z,2039.0,2026-07-25T04:59:00Z,between,87.0,88.0,87° to 88°,0.04,0.05,0.95,0.96,0.03,0.038,0.03,0.05,5.0,226.82,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-24,KXHIGHMIA-26JUL24,KXHIGHMIA-26JUL24-B87.5,2026-07-23T20:00:00Z,1979.0,2026-07-25T04:59:00Z,between,87.0,88.0,87° to 88°,0.03,0.04,0.96,0.97,0.04,0.04,0.03,0.05,2.0,226.82,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-24,KXHIGHMIA-26JUL24,KXHIGHMIA-26JUL24-B87.5,2026-07-23T21:00:00Z,1919.0,2026-07-25T04:59:00Z,between,87.0,88.0,87° to 88°,0.02,0.04,0.96,0.98,0.03,0.0289,0.02,0.06,55.0,268.82,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-24,KXHIGHMIA-26JUL24,KXHIGHMIA-26JUL24-B87.5,2026-07-23T22:00:00Z,1859.0,2026-07-25T04:59:00Z,between,87.0,88.0,87° to 88°,0.02,0.03,0.97,0.98,0.05,0.0436,0.02,0.09,20.76,287.58,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-24,KXHIGHMIA-26JUL24,KXHIGHMIA-26JUL24-B87.5,2026-07-23T23:00:00Z,1799.0,2026-07-25T04:59:00Z,between,87.0,88.0,87° to 88°,0.01,0.03,0.97,0.99,0.02,0.019,0.01,0.03,156.89,440.47,true,no,93.0,93.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-24,KXHIGHMIA-26JUL24,KXHIGHMIA-26JUL24-B87.5,2026-07-24T00:00:00Z,1739.0,2026-07-25T04:59:00Z,between,87.0,88.0,87° to 88°,0.01,0.03,0.97,0.99,0.03,0.03,0.01,0.04,24.0,448.47,true,no,93.0,93.0,false,false,true,true
