series,city,station,target_date,event_ticker,market_ticker,ts_utc,minutes_to_close,close_time_utc,strike_type,floor_strike,cap_strike,yes_sub_title,yes_bid,yes_ask,no_bid,no_ask,last,price_mean,yes_bid_low,yes_ask_high,volume,open_interest,has_quote,result,expiration_value,cli_high,recomputed_yes_expval,recomputed_yes_cli,payoff_matches_kalshi,truth_agrees
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-17T15:00:00Z,2279.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.04,0.05,0.95,0.96,0.18,0.21,0.01,1.0,200.0,0.0,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-17T16:00:00Z,2219.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.05,0.06,0.94,0.95,0.05,0.05,0.04,0.1,3.04,3.04,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-17T17:00:00Z,2159.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.05,0.07,0.93,0.95,0.06,0.06,0.04,0.07,2.81,5.85,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-17T18:00:00Z,2099.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.05,0.06,0.94,0.95,,,0.04,0.07,0.0,5.85,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-17T19:00:00Z,2039.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.04,0.06,0.94,0.96,0.06,0.06,0.04,0.07,7.01,12.86,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-17T20:00:00Z,1979.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.04,0.06,0.94,0.96,0.04,0.04,0.04,0.06,15.23,28.09,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-17T21:00:00Z,1919.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.04,0.05,0.95,0.96,0.05,0.0465,0.04,0.06,87.45,109.4,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-17T22:00:00Z,1859.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.04,0.05,0.95,0.96,,,0.04,0.05,0.0,109.4,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-17T23:00:00Z,1799.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.04,0.05,0.95,0.96,,,0.04,0.05,0.0,109.4,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-18T00:00:00Z,1739.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.04,0.05,0.95,0.96,0.04,0.0497,0.04,0.05,32.0,141.4,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-18T01:00:00Z,1679.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.04,0.05,0.95,0.96,0.05,0.0499,0.04,0.05,78.0,219.4,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-18T02:00:00Z,1619.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.05,0.06,0.94,0.95,0.06,0.0565,0.03,0.06,121.66,338.06,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-18T03:00:00Z,1559.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.05,0.06,0.94,0.95,,,0.04,0.06,0.0,338.06,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-18T04:00:00Z,1499.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.04,0.05,0.95,0.96,0.07,0.0659,0.04,0.07,79.0,417.06,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-18T05:00:00Z,1439.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.04,0.05,0.95,0.96,0.05,0.0498,0.03,0.06,189.23,604.29,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-18T06:00:00Z,1379.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.04,0.05,0.95,0.96,0.06,0.0495,0.03,0.06,62.97,634.29,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-18T07:00:00Z,1319.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.04,0.05,0.95,0.96,0.04,0.0405,0.03,0.06,59.97,669.64,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-18T08:00:00Z,1259.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.05,0.06,0.94,0.95,0.04,0.0677,0.02,0.09,317.04,946.65,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-18T09:00:00Z,1199.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.05,0.06,0.94,0.95,,,0.05,0.07,0.0,946.65,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-18T10:00:00Z,1139.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.06,0.08,0.92,0.94,0.07,0.0601,0.05,0.09,77.0,1009.65,true,no,91.0,91.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-07-18,KXHIGHMIA-26JUL18,KXHIGHMIA-26JUL18-B88.5,2026-07-18T11:00:00Z,1079.0,2026-07-19T04:59:00Z,between,88.0,89.0,88° to 89°,0.06,0.07,0.93,0.94,0.07,0.0746,0.06,0.09,297.06,1140.71,true,no,91.0,91.0,false,false,true,true
