Timestamp,Symbol,Price,Type,Status,Bid,Ask,NoBid,NoAsk,Last,Volume,Depth,StrikeType,FloorStrike,CapStrike
2026-09-06T13:10:11.963276,KXHIGHNY-26SEP07-T84 (Market),0.0,MARKET_DATA,REAL,0.0,0.0,1.0,1.0,0.0,0,,greater,84.0,
2026-09-06T13:10:11.963618,KXHIGHNY-26SEP07-T77 (Market),0.0,MARKET_DATA,REAL,0.0,0.0,1.0,1.0,0.0,0,,less,,77.0
2026-09-06T13:10:11.963742,KXHIGHNY-26SEP07-B83.5 (Market),0.0,MARKET_DATA,REAL,0.0,0.0,1.0,1.0,0.0,0,,between,83.0,84.0
2026-09-06T13:10:11.963854,KXHIGHNY-26SEP07-B81.5 (Market),0.0,MARKET_DATA,REAL,0.0,0.0,1.0,1.0,0.0,0,,between,81.0,82.0
2026-09-06T13:10:11.964020,KXHIGHNY-26SEP07-B79.5 (Market),0.0,MARKET_DATA,REAL,0.0,0.0,1.0,1.0,0.0,0,,between,79.0,80.0
2026-09-06T13:10:11.964133,KXHIGHNY-26SEP07-B77.5 (Market),0.0,MARKET_DATA,REAL,0.0,0.0,1.0,1.0,0.0,0,,between,77.0,78.0
2026-09-06T13:10:11.964242,KXHIGHNY-26SEP06-T80 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,1663,,greater,80.0,
2026-09-06T13:10:11.964359,KXHIGHNY-26SEP06-T73 (Market),0.04,MARKET_DATA,REAL,0.04,0.05,0.95,0.96,0.04,8680,,less,,73.0
2026-09-06T13:10:11.964472,KXHIGHNY-26SEP06-B79.5 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,3933,,between,79.0,80.0
2026-09-06T13:10:11.964582,KXHIGHNY-26SEP06-B77.5 (Market),0.09,MARKET_DATA,REAL,0.09,0.11,0.89,0.91,0.09,20572,,between,77.0,78.0
2026-09-06T13:10:11.964696,KXHIGHNY-26SEP06-B75.5 (Market),0.52,MARKET_DATA,REAL,0.52,0.54,0.46,0.48,0.55,7215,,between,75.0,76.0
2026-09-06T13:10:11.964842,KXHIGHNY-26SEP06-B73.5 (Market),0.36,MARKET_DATA,REAL,0.36,0.37,0.63,0.64,0.36,7391,,between,73.0,74.0
2026-09-06T13:10:11.964954,KXHIGHNY (F),68.0,MARKET_DATA,REAL,,,,,,,,,,
2026-09-06T13:10:34.313880,KXHIGHCHI-26SEP07-T83 (Market),0.0,MARKET_DATA,REAL,0.0,0.0,1.0,1.0,0.0,0,,greater,83.0,
2026-09-06T13:10:34.314229,KXHIGHCHI-26SEP07-T76 (Market),0.0,MARKET_DATA,REAL,0.0,0.0,1.0,1.0,0.0,0,,less,,76.0
