series,city,station,target_date,event_ticker,market_ticker,ts_utc,minutes_to_close,close_time_utc,strike_type,floor_strike,cap_strike,yes_sub_title,yes_bid,yes_ask,no_bid,no_ask,last,price_mean,yes_bid_low,yes_ask_high,volume,open_interest,has_quote,result,expiration_value,cli_high,recomputed_yes_expval,recomputed_yes_cli,payoff_matches_kalshi,truth_agrees
KXHIGHCHI,CHI,KMDW,2026-06-15,KXHIGHCHI-26JUN15,KXHIGHCHI-26JUN15-B74.5,2026-06-14T15:00:00Z,2339.0,2026-06-16T05:59:00Z,between,74.0,75.0,74° to 75°,0.27,0.43,0.57,0.73,0.4,0.3705,0.01,1.0,107.23,107.23,true,no,76.0,76.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-15,KXHIGHCHI-26JUN15,KXHIGHCHI-26JUN15-B74.5,2026-06-14T16:00:00Z,2279.0,2026-06-16T05:59:00Z,between,74.0,75.0,74° to 75°,0.29,0.36,0.64,0.71,0.28,0.3042,0.24,0.43,31.3,137.53,true,no,76.0,76.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-15,KXHIGHCHI-26JUN15,KXHIGHCHI-26JUN15-B74.5,2026-06-14T17:00:00Z,2219.0,2026-06-16T05:59:00Z,between,74.0,75.0,74° to 75°,0.28,0.33,0.67,0.72,0.29,0.3147,0.26,0.39,38.0,153.53,true,no,76.0,76.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-15,KXHIGHCHI-26JUN15,KXHIGHCHI-26JUN15-B74.5,2026-06-14T18:00:00Z,2159.0,2026-06-16T05:59:00Z,between,74.0,75.0,74° to 75°,0.33,0.38,0.62,0.67,0.34,0.3356,0.26,0.4,51.29,186.52,true,no,76.0,76.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-15,KXHIGHCHI-26JUN15,KXHIGHCHI-26JUN15-B74.5,2026-06-14T19:00:00Z,2099.0,2026-06-16T05:59:00Z,between,74.0,75.0,74° to 75°,0.33,0.34,0.66,0.67,0.33,0.3656,0.32,0.38,55.0,241.52,true,no,76.0,76.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-15,KXHIGHCHI-26JUN15,KXHIGHCHI-26JUN15-B74.5,2026-06-14T20:00:00Z,2039.0,2026-06-16T05:59:00Z,between,74.0,75.0,74° to 75°,0.33,0.36,0.64,0.67,0.36,0.3481,0.33,0.39,26.92,267.44,true,no,76.0,76.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-15,KXHIGHCHI-26JUN15,KXHIGHCHI-26JUN15-B74.5,2026-06-14T21:00:00Z,1979.0,2026-06-16T05:59:00Z,between,74.0,75.0,74° to 75°,0.33,0.36,0.64,0.67,0.33,0.33,0.33,0.36,10.0,277.44,true,no,76.0,76.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-15,KXHIGHCHI-26JUN15,KXHIGHCHI-26JUN15-B74.5,2026-06-14T22:00:00Z,1919.0,2026-06-16T05:59:00Z,between,74.0,75.0,74° to 75°,0.32,0.4,0.6,0.68,0.33,0.3496,0.32,0.4,25.05,297.49,true,no,76.0,76.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-15,KXHIGHCHI-26JUN15,KXHIGHCHI-26JUN15-B74.5,2026-06-14T23:00:00Z,1859.0,2026-06-16T05:59:00Z,between,74.0,75.0,74° to 75°,0.35,0.38,0.62,0.65,0.38,0.3755,0.32,0.42,111.43,370.33,true,no,76.0,76.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-15,KXHIGHCHI-26JUN15,KXHIGHCHI-26JUN15-B74.5,2026-06-15T00:00:00Z,1799.0,2026-06-16T05:59:00Z,between,74.0,75.0,74° to 75°,0.34,0.35,0.65,0.66,0.37,0.3722,0.34,0.39,36.0,405.33,true,no,76.0,76.0,false,false,true,true
