series,city,station,target_date,event_ticker,market_ticker,ts_utc,minutes_to_close,close_time_utc,strike_type,floor_strike,cap_strike,yes_sub_title,yes_bid,yes_ask,no_bid,no_ask,last,price_mean,yes_bid_low,yes_ask_high,volume,open_interest,has_quote,result,expiration_value,cli_high,recomputed_yes_expval,recomputed_yes_cli,payoff_matches_kalshi,truth_agrees
KXHIGHCHI,CHI,KMDW,2026-06-26,KXHIGHCHI-26JUN26,KXHIGHCHI-26JUN26-B70.5,2026-06-25T15:00:00Z,2339.0,2026-06-27T05:59:00Z,between,70.0,71.0,70° to 71°,0.21,0.26,0.74,0.79,0.44,0.2626,0.01,1.0,6.54,6.54,true,no,67.0,67.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-26,KXHIGHCHI-26JUN26,KXHIGHCHI-26JUN26-B70.5,2026-06-25T16:00:00Z,2279.0,2026-06-27T05:59:00Z,between,70.0,71.0,70° to 71°,0.27,0.28,0.72,0.73,0.26,0.2254,0.21,0.28,80.0,83.54,true,no,67.0,67.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-26,KXHIGHCHI-26JUN26,KXHIGHCHI-26JUN26-B70.5,2026-06-25T17:00:00Z,2219.0,2026-06-27T05:59:00Z,between,70.0,71.0,70° to 71°,0.19,0.22,0.78,0.81,0.22,0.22,0.17,0.28,20.0,103.54,true,no,67.0,67.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-26,KXHIGHCHI-26JUN26,KXHIGHCHI-26JUN26-B70.5,2026-06-25T18:00:00Z,2159.0,2026-06-27T05:59:00Z,between,70.0,71.0,70° to 71°,0.15,0.18,0.82,0.85,,,0.15,0.22,0.0,103.54,true,no,67.0,67.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-26,KXHIGHCHI-26JUN26,KXHIGHCHI-26JUN26-B70.5,2026-06-25T19:00:00Z,2099.0,2026-06-27T05:59:00Z,between,70.0,71.0,70° to 71°,0.17,0.18,0.82,0.83,0.15,0.15,0.15,0.18,0.51,104.05,true,no,67.0,67.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-26,KXHIGHCHI-26JUN26,KXHIGHCHI-26JUN26-B70.5,2026-06-25T20:00:00Z,2039.0,2026-06-27T05:59:00Z,between,70.0,71.0,70° to 71°,0.19,0.2,0.8,0.81,0.19,0.188,0.17,0.2,35.0,139.05,true,no,67.0,67.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-26,KXHIGHCHI-26JUN26,KXHIGHCHI-26JUN26-B70.5,2026-06-25T21:00:00Z,1979.0,2026-06-27T05:59:00Z,between,70.0,71.0,70° to 71°,0.24,0.26,0.74,0.76,0.23,0.2288,0.17,0.26,99.0,237.54,true,no,67.0,67.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-26,KXHIGHCHI-26JUN26,KXHIGHCHI-26JUN26-B70.5,2026-06-25T22:00:00Z,1919.0,2026-06-27T05:59:00Z,between,70.0,71.0,70° to 71°,0.24,0.25,0.75,0.76,0.25,0.264,0.23,0.27,25.73,261.01,true,no,67.0,67.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-26,KXHIGHCHI-26JUN26,KXHIGHCHI-26JUN26-B70.5,2026-06-25T23:00:00Z,1859.0,2026-06-27T05:59:00Z,between,70.0,71.0,70° to 71°,0.26,0.27,0.73,0.74,0.27,0.2407,0.23,0.27,103.69,342.7,true,no,67.0,67.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-26,KXHIGHCHI-26JUN26,KXHIGHCHI-26JUN26-B70.5,2026-06-26T00:00:00Z,1799.0,2026-06-27T05:59:00Z,between,70.0,71.0,70° to 71°,0.26,0.27,0.73,0.74,0.26,0.2595,0.23,0.27,21.38,349.12,true,no,67.0,67.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-26,KXHIGHCHI-26JUN26,KXHIGHCHI-26JUN26-B70.5,2026-06-26T01:00:00Z,1739.0,2026-06-27T05:59:00Z,between,70.0,71.0,70° to 71°,0.31,0.32,0.68,0.69,0.34,0.2787,0.21,0.34,117.49,461.61,true,no,67.0,67.0,false,false,true,true
