Timestamp,Symbol,Price,Type,Status
2026-03-22T19:31:50.544727,BTC-USD (Coinbase),67927.13,MARKET_DATA,REAL
2026-03-22T19:31:50.693346,KXBTC15M-26MAR222045-45 (15m),0.36,MARKET_DATA,REAL
2026-03-22T19:31:52.789116,KXBTCD-26MAR2221-T67899.99 (1h),0.52,MARKET_DATA,REAL
2026-03-22T19:31:52.906013,KXBTCD-26MAR2221-T67699.99 (1h),0.8,MARKET_DATA,REAL
2026-03-22T19:31:53.035623,KXBTCD-26MAR2221-T68099.99 (1h),0.24,MARKET_DATA,REAL
2026-03-22T19:31:55.632976,KXHIGHNY-26MAR22-B62.5 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:31:55.633370,KXHIGHNY (F),53.06,MARKET_DATA,REAL
2026-03-22T19:31:58.094839,KXHIGHLAX-26MAR22-T75 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:31:58.096667,KXHIGHLAX (F),64.4,MARKET_DATA,REAL
2026-03-22T19:32:00.533919,KXHIGHCHI-26MAR22-T65 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:00.534396,KXHIGHCHI (F),33.8,MARKET_DATA,REAL
2026-03-22T19:32:02.875283,KXHIGHMIA-26MAR22-B81.5 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:02.876161,KXHIGHMIA (F),71.6,MARKET_DATA,REAL
2026-03-22T19:32:06.332778,BTC-USD (Coinbase),67861.99,MARKET_DATA,REAL
2026-03-22T19:32:06.408387,KXBTC15M-26MAR222045-45 (15m),0.34,MARKET_DATA,REAL
2026-03-22T19:32:08.533195,KXBTCD-26MAR2221-T67899.99 (1h),0.47,MARKET_DATA,REAL
2026-03-22T19:32:08.609145,KXBTCD-26MAR2221-T67699.99 (1h),0.77,MARKET_DATA,REAL
2026-03-22T19:32:08.684834,KXBTCD-26MAR2221-T68099.99 (1h),0.17,MARKET_DATA,REAL
2026-03-22T19:32:10.082049,KXHIGHNY-26MAR22-B62.5 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:10.082442,KXHIGHNY (F),53.06,MARKET_DATA,REAL
2026-03-22T19:32:13.432163,KXHIGHLAX-26MAR22-T75 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:13.432672,KXHIGHLAX (F),64.4,MARKET_DATA,REAL
2026-03-22T19:32:15.716896,KXHIGHCHI-26MAR22-T65 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:15.717307,KXHIGHCHI (F),33.8,MARKET_DATA,REAL
2026-03-22T19:32:18.047061,KXHIGHMIA-26MAR22-B81.5 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:18.047571,KXHIGHMIA (F),71.6,MARKET_DATA,REAL
2026-03-22T19:32:21.412780,BTC-USD (Coinbase),67882.5,MARKET_DATA,REAL
2026-03-22T19:32:21.530588,KXBTC15M-26MAR222045-45 (15m),0.29,MARKET_DATA,REAL
2026-03-22T19:32:23.539246,KXBTCD-26MAR2221-T67899.99 (1h),0.46,MARKET_DATA,REAL
2026-03-22T19:32:23.612783,KXBTCD-26MAR2221-T67699.99 (1h),0.74,MARKET_DATA,REAL
2026-03-22T19:32:23.695076,KXBTCD-26MAR2221-T68099.99 (1h),0.17,MARKET_DATA,REAL
2026-03-22T19:32:24.925461,KXHIGHNY-26MAR22-B62.5 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:24.926115,KXHIGHNY (F),53.06,MARKET_DATA,REAL
2026-03-22T19:32:27.143502,KXHIGHLAX-26MAR22-T75 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:27.144297,KXHIGHLAX (F),64.4,MARKET_DATA,REAL
2026-03-22T19:32:30.448149,KXHIGHCHI-26MAR22-T65 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:30.448784,KXHIGHCHI (F),33.8,MARKET_DATA,REAL
2026-03-22T19:32:33.587505,KXHIGHMIA-26MAR22-B81.5 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:33.588658,KXHIGHMIA (F),71.6,MARKET_DATA,REAL
2026-03-22T19:32:37.057333,BTC-USD (Coinbase),67877.9,MARKET_DATA,REAL
2026-03-22T19:32:37.138013,KXBTC15M-26MAR222045-45 (15m),0.29,MARKET_DATA,REAL
2026-03-22T19:32:39.058247,KXBTCD-26MAR2221-T67899.99 (1h),0.44,MARKET_DATA,REAL
2026-03-22T19:32:39.132973,KXBTCD-26MAR2221-T67699.99 (1h),0.73,MARKET_DATA,REAL
2026-03-22T19:32:39.219671,KXBTCD-26MAR2221-T68099.99 (1h),0.18,MARKET_DATA,REAL
2026-03-22T19:32:40.469385,KXHIGHNY-26MAR22-B62.5 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:40.469784,KXHIGHNY (F),53.06,MARKET_DATA,REAL
2026-03-22T19:32:42.635766,KXHIGHLAX-26MAR22-T75 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:42.636186,KXHIGHLAX (F),64.4,MARKET_DATA,REAL
2026-03-22T19:32:44.770708,KXHIGHCHI-26MAR22-T65 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:44.772180,KXHIGHCHI (F),33.8,MARKET_DATA,REAL
2026-03-22T19:32:46.957115,KXHIGHMIA-26MAR22-B81.5 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:46.957579,KXHIGHMIA (F),71.6,MARKET_DATA,REAL
2026-03-22T19:32:50.366423,BTC-USD (Coinbase),67840.06,MARKET_DATA,REAL
2026-03-22T19:32:50.440251,KXBTC15M-26MAR222045-45 (15m),0.23,MARKET_DATA,REAL
2026-03-22T19:32:52.391906,KXBTCD-26MAR2221-T67799.99 (1h),0.55,MARKET_DATA,REAL
2026-03-22T19:32:52.466036,KXBTCD-26MAR2221-T67599.99 (1h),0.82,MARKET_DATA,REAL
2026-03-22T19:32:52.543434,KXBTCD-26MAR2221-T67999.99 (1h),0.26,MARKET_DATA,REAL
2026-03-22T19:32:53.851785,KXHIGHNY-26MAR22-B62.5 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:53.852318,KXHIGHNY (F),53.06,MARKET_DATA,REAL
2026-03-22T19:32:56.006303,KXHIGHLAX-26MAR22-T75 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:56.006819,KXHIGHLAX (F),64.4,MARKET_DATA,REAL
2026-03-22T19:32:58.127873,KXHIGHCHI-26MAR22-T65 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:32:58.128914,KXHIGHCHI (F),33.8,MARKET_DATA,REAL
2026-03-22T19:33:00.296941,KXHIGHMIA-26MAR22-B81.5 (Market),0.99,MARKET_DATA,REAL
2026-03-22T19:33:00.297553,KXHIGHMIA (F),71.6,MARKET_DATA,REAL
2026-03-22T19:33:03.913267,BTC-USD (Coinbase),67834.01,MARKET_DATA,REAL
2026-03-22T19:33:04.060461,KXBTC15M-26MAR222045-45 (15m),0.21,MARKET_DATA,REAL
