Timestamp,Equity,Cash,Exposure,Realized_PnL,Unrealized_PnL
2026-03-23T12:05:55.240364,2851.462908859779,2391.2909999999997,459.61,-149.09899999999996,0.5619088597793205
2026-03-23T12:05:56.277256,2851.462908859779,2391.2909999999997,459.61,-149.09899999999996,0.5619088597793205
2026-03-23T12:05:57.304795,2851.462908859779,2391.2909999999997,459.61,-149.09899999999996,0.5619088597793205
2026-03-23T12:05:58.333559,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:05:59.367263,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:00.404315,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:01.431663,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:02.461653,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:03.489232,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:04.524562,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:05.555056,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:06.589226,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:07.624166,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:08.758153,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:09.787859,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:10.822265,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:11.850535,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:12.886715,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:13.917213,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:14.957156,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:15.984246,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:17.018907,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:18.098235,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:19.142880,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:20.171619,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:21.200442,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:22.253179,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:23.282857,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:24.311882,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:25.338778,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:26.369376,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:27.406802,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:28.437818,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:29.462143,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:30.495630,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:31.534626,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:32.583225,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:33.759517,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:34.788268,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:35.818313,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:36.851187,2866.361,2521.101,334.31,-144.58899999999994,10.949999999999985
2026-03-23T12:06:37.888993,2866.361,2395.491,459.92,-144.58899999999994,10.949999999999985
2026-03-23T12:06:38.923336,2865.321,2394.451,459.92,-145.62899999999993,10.949999999999985
2026-03-23T12:06:39.949800,2865.321,2394.451,459.92,-145.62899999999993,10.949999999999985
2026-03-23T12:06:40.977675,2865.321,2394.451,459.92,-145.62899999999993,10.949999999999985
2026-03-23T12:06:42.007236,2865.321,2394.451,459.92,-145.62899999999993,10.949999999999985
2026-03-23T12:06:43.033702,2865.321,2394.451,459.92,-145.62899999999993,10.949999999999985
2026-03-23T12:06:44.070251,2865.321,2394.451,459.92,-145.62899999999993,10.949999999999985
2026-03-23T12:06:45.099162,2865.321,2394.451,459.92,-145.62899999999993,10.949999999999985
2026-03-23T12:06:46.128202,2865.321,2394.451,459.92,-145.62899999999993,10.949999999999985
2026-03-23T12:06:47.154678,2865.321,2394.451,459.92,-145.62899999999993,10.949999999999985
