Timestamp,Symbol,Price,Type,Status
2026-03-22T12:10:20.080825,KXHIGHNY-26MAR22-B62.5 (Market),0.44,MARKET_DATA,REAL
2026-03-22T12:10:20.081436,KXHIGHNY (F),48.92,MARKET_DATA,REAL
2026-03-22T12:10:23.253337,KXHIGHLAX-26MAR22-T75 (Market),0.8,MARKET_DATA,REAL
2026-03-22T12:10:23.254135,KXHIGHLAX (F),64.4,MARKET_DATA,REAL
2026-03-22T12:10:26.433168,KXHIGHCHI-26MAR22-T65 (Market),0.99,MARKET_DATA,REAL
2026-03-22T12:10:26.433885,KXHIGHCHI (F),41.0,MARKET_DATA,REAL
2026-03-22T12:10:29.688275,KXHIGHMIA-26MAR22-B81.5 (Market),0.53,MARKET_DATA,REAL
2026-03-22T12:10:29.689210,KXHIGHMIA (F),78.8,MARKET_DATA,REAL
2026-03-22T12:10:33.193791,BTC-USD (Coinbase),68829.21,MARKET_DATA,REAL
2026-03-22T12:10:33.273563,KXBTC15M-26MAR221315-15 (15m),0.67,MARKET_DATA,REAL
2026-03-22T12:10:33.280524,KXBTC15M-26MAR221315-15,0.69,SIGNAL_BUY,EXECUTED
2026-03-22T12:10:35.146662,KXBTCD-26MAR2214-T68799.99 (1h),0.55,MARKET_DATA,REAL
2026-03-22T12:10:35.224131,KXBTCD-26MAR2214-T68599.99 (1h),0.93,MARKET_DATA,REAL
2026-03-22T12:10:35.302312,KXBTCD-26MAR2214-T68999.99 (1h),0.12,MARKET_DATA,REAL
2026-03-22T12:10:36.485921,KXHIGHNY-26MAR22-B62.5 (Market),0.43,MARKET_DATA,REAL
2026-03-22T12:10:36.486710,KXHIGHNY (F),48.92,MARKET_DATA,REAL
2026-03-22T12:10:38.591724,KXHIGHLAX-26MAR22-T75 (Market),0.81,MARKET_DATA,REAL
2026-03-22T12:10:38.592491,KXHIGHLAX (F),64.4,MARKET_DATA,REAL
2026-03-22T12:10:41.050269,KXHIGHCHI-26MAR22-T65 (Market),0.99,MARKET_DATA,REAL
2026-03-22T12:10:41.051804,KXHIGHCHI (F),41.0,MARKET_DATA,REAL
2026-03-22T12:10:43.203829,KXHIGHMIA-26MAR22-B81.5 (Market),0.53,MARKET_DATA,REAL
2026-03-22T12:10:43.204357,KXHIGHMIA (F),78.8,MARKET_DATA,REAL
2026-03-22T12:10:47.070216,BTC-USD (Coinbase),68830.06,MARKET_DATA,REAL
2026-03-22T12:10:47.149913,KXBTC15M-26MAR221315-15 (15m),0.67,MARKET_DATA,REAL
2026-03-22T12:10:49.029770,KXBTCD-26MAR2214-T68799.99 (1h),0.56,MARKET_DATA,REAL
2026-03-22T12:10:49.109466,KXBTCD-26MAR2214-T68599.99 (1h),0.93,MARKET_DATA,REAL
