series,city,station,target_date,event_ticker,market_ticker,ts_utc,minutes_to_close,close_time_utc,strike_type,floor_strike,cap_strike,yes_sub_title,yes_bid,yes_ask,no_bid,no_ask,last,price_mean,yes_bid_low,yes_ask_high,volume,open_interest,has_quote,result,expiration_value,cli_high,recomputed_yes_expval,recomputed_yes_cli,payoff_matches_kalshi,truth_agrees
KXHIGHNY,NY,KNYC,2026-06-17,KXHIGHNY-26JUN17,KXHIGHNY-26JUN17-B74.5,2026-06-16T15:00:00Z,2279.0,2026-06-18T04:59:00Z,between,74.0,75.0,74° to 75°,0.31,0.38,0.62,0.69,0.38,0.3421,0.01,1.0,270.7,233.95,true,no,78.0,78.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-06-17,KXHIGHNY-26JUN17,KXHIGHNY-26JUN17-B74.5,2026-06-16T16:00:00Z,2219.0,2026-06-18T04:59:00Z,between,74.0,75.0,74° to 75°,0.36,0.44,0.56,0.64,0.36,0.4111,0.31,0.5,440.74,644.19,true,no,78.0,78.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-06-17,KXHIGHNY-26JUN17,KXHIGHNY-26JUN17-B74.5,2026-06-16T17:00:00Z,2159.0,2026-06-18T04:59:00Z,between,74.0,75.0,74° to 75°,0.38,0.44,0.56,0.62,0.36,0.3606,0.33,0.45,40.7,668.39,true,no,78.0,78.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-06-17,KXHIGHNY-26JUN17,KXHIGHNY-26JUN17-B74.5,2026-06-16T18:00:00Z,2099.0,2026-06-18T04:59:00Z,between,74.0,75.0,74° to 75°,0.36,0.39,0.61,0.64,0.36,0.3655,0.36,0.48,97.76,744.15,true,no,78.0,78.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-06-17,KXHIGHNY-26JUN17,KXHIGHNY-26JUN17-B74.5,2026-06-16T19:00:00Z,2039.0,2026-06-18T04:59:00Z,between,74.0,75.0,74° to 75°,0.34,0.35,0.65,0.66,0.36,0.3634,0.34,0.42,178.55,874.1,true,no,78.0,78.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-06-17,KXHIGHNY-26JUN17,KXHIGHNY-26JUN17-B74.5,2026-06-16T20:00:00Z,1979.0,2026-06-18T04:59:00Z,between,74.0,75.0,74° to 75°,0.32,0.33,0.67,0.68,0.33,0.3458,0.32,0.4,192.56,1008.96,true,no,78.0,78.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-06-17,KXHIGHNY-26JUN17,KXHIGHNY-26JUN17-B74.5,2026-06-16T21:00:00Z,1919.0,2026-06-18T04:59:00Z,between,74.0,75.0,74° to 75°,0.32,0.33,0.67,0.68,0.32,0.3259,0.3,0.36,226.54,1232.79,true,no,78.0,78.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-06-17,KXHIGHNY-26JUN17,KXHIGHNY-26JUN17-B74.5,2026-06-16T22:00:00Z,1859.0,2026-06-18T04:59:00Z,between,74.0,75.0,74° to 75°,0.33,0.34,0.66,0.67,0.34,0.3368,0.3,0.35,664.01,1793.25,true,no,78.0,78.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-06-17,KXHIGHNY-26JUN17,KXHIGHNY-26JUN17-B74.5,2026-06-16T23:00:00Z,1799.0,2026-06-18T04:59:00Z,between,74.0,75.0,74° to 75°,0.33,0.36,0.64,0.67,0.37,0.354,0.32,0.37,350.21,2098.01,true,no,78.0,78.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-06-17,KXHIGHNY-26JUN17,KXHIGHNY-26JUN17-B74.5,2026-06-17T00:00:00Z,1739.0,2026-06-18T04:59:00Z,between,74.0,75.0,74° to 75°,0.36,0.4,0.6,0.64,0.4,0.3789,0.32,0.45,784.42,2874.43,true,no,78.0,78.0,false,false,true,true
