series,city,station,target_date,event_ticker,market_ticker,ts_utc,minutes_to_close,close_time_utc,strike_type,floor_strike,cap_strike,yes_sub_title,yes_bid,yes_ask,no_bid,no_ask,last,price_mean,yes_bid_low,yes_ask_high,volume,open_interest,has_quote,result,expiration_value,cli_high,recomputed_yes_expval,recomputed_yes_cli,payoff_matches_kalshi,truth_agrees
KXHIGHLAX,LAX,KLAX,2026-06-05,KXHIGHLAX-26JUN05,KXHIGHLAX-26JUN05-B69.5,2026-06-04T15:00:00Z,2459.0,2026-06-06T07:59:00Z,between,69.0,70.0,69° to 70°,0.09,0.1,0.9,0.91,0.13,0.2056,0.01,1.0,334.8,323.8,true,yes,70.0,70.0,true,true,true,true
KXHIGHLAX,LAX,KLAX,2026-06-05,KXHIGHLAX-26JUN05,KXHIGHLAX-26JUN05-B69.5,2026-06-04T16:00:00Z,2399.0,2026-06-06T07:59:00Z,between,69.0,70.0,69° to 70°,0.12,0.14,0.86,0.88,0.09,0.0908,0.06,0.14,146.28,461.08,true,yes,70.0,70.0,true,true,true,true
KXHIGHLAX,LAX,KLAX,2026-06-05,KXHIGHLAX-26JUN05,KXHIGHLAX-26JUN05-B69.5,2026-06-04T17:00:00Z,2339.0,2026-06-06T07:59:00Z,between,69.0,70.0,69° to 70°,0.11,0.12,0.88,0.89,0.12,0.1124,0.11,0.14,26.22,486.08,true,yes,70.0,70.0,true,true,true,true
KXHIGHLAX,LAX,KLAX,2026-06-05,KXHIGHLAX-26JUN05,KXHIGHLAX-26JUN05-B69.5,2026-06-04T18:00:00Z,2279.0,2026-06-06T07:59:00Z,between,69.0,70.0,69° to 70°,0.12,0.13,0.87,0.88,0.12,0.12,0.11,0.14,110.49,586.35,true,yes,70.0,70.0,true,true,true,true
KXHIGHLAX,LAX,KLAX,2026-06-05,KXHIGHLAX-26JUN05,KXHIGHLAX-26JUN05-B69.5,2026-06-04T19:00:00Z,2219.0,2026-06-06T07:59:00Z,between,69.0,70.0,69° to 70°,0.18,0.19,0.81,0.82,0.18,0.1642,0.12,0.19,312.42,849.03,true,yes,70.0,70.0,true,true,true,true
KXHIGHLAX,LAX,KLAX,2026-06-05,KXHIGHLAX-26JUN05,KXHIGHLAX-26JUN05-B69.5,2026-06-04T20:00:00Z,2159.0,2026-06-06T07:59:00Z,between,69.0,70.0,69° to 70°,0.24,0.25,0.75,0.76,0.25,0.208,0.18,0.25,41.33,890.36,true,yes,70.0,70.0,true,true,true,true
KXHIGHLAX,LAX,KLAX,2026-06-05,KXHIGHLAX-26JUN05,KXHIGHLAX-26JUN05-B69.5,2026-06-04T21:00:00Z,2099.0,2026-06-06T07:59:00Z,between,69.0,70.0,69° to 70°,0.26,0.27,0.73,0.74,0.27,0.2611,0.24,0.28,43.98,923.08,true,yes,70.0,70.0,true,true,true,true
KXHIGHLAX,LAX,KLAX,2026-06-05,KXHIGHLAX-26JUN05,KXHIGHLAX-26JUN05-B69.5,2026-06-04T22:00:00Z,2039.0,2026-06-06T07:59:00Z,between,69.0,70.0,69° to 70°,0.33,0.34,0.66,0.67,0.35,0.3484,0.26,0.4,518.45,1270.98,true,yes,70.0,70.0,true,true,true,true
KXHIGHLAX,LAX,KLAX,2026-06-05,KXHIGHLAX-26JUN05,KXHIGHLAX-26JUN05-B69.5,2026-06-04T23:00:00Z,1979.0,2026-06-06T07:59:00Z,between,69.0,70.0,69° to 70°,0.34,0.36,0.64,0.66,0.34,0.3412,0.31,0.36,261.84,1281.69,true,yes,70.0,70.0,true,true,true,true
KXHIGHLAX,LAX,KLAX,2026-06-05,KXHIGHLAX-26JUN05,KXHIGHLAX-26JUN05-B69.5,2026-06-05T00:00:00Z,1919.0,2026-06-06T07:59:00Z,between,69.0,70.0,69° to 70°,0.15,0.16,0.84,0.85,0.15,0.1938,0.15,0.36,2537.26,3351.9,true,yes,70.0,70.0,true,true,true,true
